"age","bin_ave","cu95","cl95","nentities","ninwin"
11500,-0.0409588068209555,0.0908349615322404,-0.144770445341292,203,208
11600,0.132410281680222,0.286425765691752,-0.00194686811038121,184,192
11700,0.132032314010929,0.263083711704031,0.0127394338055434,190,183
11800,0.0621376074200254,0.208108376226383,-0.0672391638895941,186,197
11900,-0.101305751967158,0.0523303245734742,-0.233231404952606,181,178
12000,-0.10497831752287,0.0265082321322687,-0.237086027038916,165,167
12100,-0.119751427061832,0.0247902944941939,-0.274147391690495,176,176
12200,-0.0153701626955045,0.121076695565991,-0.193522523467831,181,179
12300,0.0535332508266203,0.24376183933,-0.0876990156216365,155,170
12400,-0.0120050434199074,0.122111702620507,-0.146939822187641,171,158
12500,0.0881562176181674,0.225805728525885,-0.0526370632207816,147,169
12600,0.00591755307255049,0.177683891021078,-0.13520388972447,171,140
12700,0.146387458460283,0.31394953320666,-0.0112463014835154,160,179
12800,0.123493163781541,0.283218100270998,-0.0479208734998217,162,151
12900,0.109225600466512,0.258172538902823,-0.048398029579591,152,158
13000,0.0683187498320874,0.246630177080134,-0.100697013499643,139,147
13100,0.00655765441410521,0.172087797999033,-0.168649915836756,143,140
13200,-0.147809952701375,0.00476054642780274,-0.274581417084972,132,139
13300,-0.0861246185305769,0.0833505041263435,-0.273932285570652,122,126
13400,-0.244201046945832,-0.0870464180600966,-0.423248423745293,128,115
13500,-0.0730707605993633,0.115109300177595,-0.249512175174781,134,141
13600,-0.101399923199533,0.0831726450509512,-0.250961213778996,110,119
13700,-0.229916148338052,-0.00920054489141163,-0.393391062504269,112,109
13800,-0.180910264586126,-0.0202380317423258,-0.314873926270769,122,121
13900,-0.309665861152761,-0.133701192783742,-0.463786091631577,115,114
14000,-0.403210140206881,-0.212683459460101,-0.55923854319886,118,115
14100,-0.468735103596056,-0.28276380178398,-0.640433394844452,118,118
14200,-0.629108371314339,-0.400567214019187,-0.798678164977948,93,111
14300,-0.491989627723665,-0.253762914925154,-0.667289634632152,97,88
14400,-0.594119199053395,-0.420536704616604,-0.750185173717045,98,98
14500,-0.466889163654272,-0.243816076618479,-0.658683628159138,91,95
14600,-0.559510088068341,-0.325004805969088,-0.768603014226362,101,91
14700,-0.476169015534762,-0.210145989538719,-0.691500677415685,75,94
14800,-0.415971255888243,-0.0738322809187009,-0.67852812673259,75,75
14900,-0.58024934618565,-0.335066164221602,-0.790787523377502,78,69
15000,-0.524140862743537,-0.264373485469537,-0.777345025260863,75,82
15100,-0.39951319176372,-0.100812439619348,-0.680160875762352,58,66
15200,-0.372329432434029,-0.0325212524029834,-0.719883149498219,69,64
15300,-0.480276456640056,-0.162909984956646,-0.774419988194892,73,67
15400,-0.424525662282955,-0.0572503755163768,-0.746130212282686,68,76
15500,-0.249176371491382,0.254652192539468,-0.67264130374524,60,61
15600,-0.434244936977507,0.00398839204524856,-0.893424337835574,62,67
15700,-0.119931361661015,0.388720396069066,-0.640051124935721,59,55
15800,-0.308323783131351,0.246207714544774,-0.74115797561712,62,62
15900,-0.299922801967769,0.201630009923373,-0.702409657659705,55,53
16000,-0.606995159195379,-0.261185338339444,-0.983642449722961,54,57
16100,-0.591296330140218,-0.233568844090906,-0.881363445645089,50,54
16200,-0.51127071506616,-0.106497906796,-0.835737887588582,41,50
16300,-0.731804857024109,-0.404174432119636,-1.08262910826326,42,39
16400,-0.535994322186758,0.0904070797341662,-0.946410141162359,42,37
16500,-0.61503566960153,-0.312842368080647,-0.922505573039849,43,44
16600,-0.282117231260687,0.257517701475399,-0.766101947968515,47,44
16700,-0.600177111822337,-0.190265239230423,-1.09695246991745,29,45
16800,-0.491134143747347,-0.103876876974212,-0.908453773846755,40,31
16900,-0.620330859858043,-0.276971928815957,-0.933564868483226,44,47
17000,-0.679643658879213,-0.318907155181613,-1.0659091273772,41,42
17100,-0.754333899404639,-0.470850948228435,-1.0763653927324,41,43
17200,-0.691127919701341,-0.253429575923027,-1.08167821597096,42,41
17300,-0.843669237357945,-0.521703068128161,-1.21447375063758,38,39
17400,-0.750904263872865,-0.391325817851076,-1.10475819366629,42,40
17500,-0.831066501207054,-0.565759276240577,-1.13970776506623,39,40
17600,-0.755674066180127,-0.407796787337427,-1.10103706865339,23,40
17700,NA,NA,NA,0,0
