"age","locfit","cu95","cl95","nentities","window","ninwin"
-65,0.312332543267182,1.15128222411337,-0.384908766654923,6,100,161
-15,0.79132243659919,1.22131542272307,0.296093367806926,81,150,179
35,0.980024763698291,1.32309098748761,0.606366450505538,138,200,199
85,0.974465092640568,1.38398957618862,0.573102776773196,106,200,201
135,0.835226176011778,1.27848320228334,0.449033071070643,120,200,190
185,0.711938468446473,1.17677388633457,0.309553472214064,120,200,197
235,0.699694396621882,1.14400189029466,0.274206632168362,121,200,202
285,0.670293882679543,1.11651212372174,0.236286022043335,138,200,205
335,0.61330201661755,1.04709068883643,0.192809774941227,117,200,208
385,0.617271430460373,1.03914330844933,0.232830499471918,121,200,209
435,0.681043096136504,1.12648431120199,0.279418258864105,125,200,206
485,0.758294911601111,1.26078061360616,0.312088698610132,124,200,208
535,0.796865784010336,1.35726846749441,0.341699438023405,120,200,206
585,0.796063129644464,1.33536321603114,0.373778240798177,132,200,213
635,0.849451341476832,1.35642103965278,0.401195130868481,113,200,213
685,0.924879543168162,1.38697584205671,0.452234723177153,140,200,217
735,0.960543029690313,1.37905642184317,0.537958028927178,113,200,216
785,0.952394023395124,1.37398209382876,0.548459040103902,129,200,214
835,0.903727735225115,1.34751551433805,0.486781481218132,116,200,219
885,0.845088355902617,1.29083926903536,0.395540027847042,131,200,215
935,0.814631171612285,1.2517893954402,0.358249692049641,114,200,216
985,0.898638212074958,1.37040991656842,0.52594593168495,128,200,218
1035,0.902657156936138,1.3539015238136,0.547899308302355,124,200,220
1085,0.834461300869826,1.2072959685921,0.498689638440764,118,200,223
1135,0.866716344289091,1.22410020173507,0.535754799016073,121,200,224
1185,0.90286231521342,1.29011405449218,0.539380798930275,123,200,218
1235,0.825286290306434,1.16307709312088,0.46610703083879,119,200,218
1285,0.802279914466967,1.10401459961407,0.411803229177406,125,200,217
1335,0.921102668054471,1.28543606261432,0.485090709215354,114,200,220
1385,0.942208396627567,1.31123011194349,0.528570725362836,125,200,221
1435,0.95627999939114,1.35482937991183,0.525260730845217,131,200,219
1485,0.971046775129323,1.38012516881375,0.5300281619505,111,200,224
1535,0.891279205288989,1.31079167709692,0.456070776539245,129,200,217
1585,0.870734734418237,1.3060834557485,0.466045179158923,127,200,216
1635,0.903869395035055,1.36365934400603,0.498174334826955,117,200,218
1685,0.921322311240871,1.39400603487057,0.53184029899224,118,200,219
1735,0.89066674036767,1.4049403773716,0.510235346292178,121,200,222
1785,0.902609259457776,1.36016045531284,0.526276731948123,133,200,224
1835,0.946534008787584,1.37467340910649,0.56688705183336,116,200,225
1885,0.931240476442086,1.39826733435567,0.541624815009053,119,200,216
1935,0.928042191751763,1.38833160314332,0.553646182309936,125,200,216
1985,0.895062111424422,1.30988081836576,0.559846620625835,125,200,215
2035,0.798378468606818,1.18649081211376,0.476246531026682,126,200,225
2085,0.794531845993418,1.17043255427752,0.452862082415112,127,200,224
2135,0.757594427520323,1.16297000354896,0.394994168983299,125,200,227
2185,0.686581550761163,1.11209290033691,0.326975455759138,126,200,229
2235,0.657166731610797,1.07467463569471,0.306971507555517,138,200,220
2285,0.638985713841579,1.07960112985149,0.2928398157006,116,200,212
2335,0.684141773381492,1.1637782980778,0.299369998596904,125,200,216
2385,0.730282680474568,1.14902611710226,0.316775155119536,117,200,222
2435,0.817415331548731,1.23987327451129,0.424865540547918,130,200,219
2485,0.848374646859573,1.28755479863458,0.427644785083322,125,200,222
2535,0.768166667962049,1.21043059134804,0.3871384782298,121,200,224
2585,0.667783951880549,1.06490306421701,0.252156121679073,127,200,215
2635,0.686954739887276,1.04777123935037,0.232263923775498,116,200,222
2685,0.755546940128848,1.14078944607514,0.297242017996191,126,200,223
2735,0.723240598051539,1.09337735149829,0.326209887267762,117,200,219
2785,0.673026264743423,1.10515409817773,0.276032169322617,127,200,223
2835,0.751176670635641,1.22716903202274,0.279023860180934,111,200,222
2885,0.819518044272047,1.31657418195699,0.394330507605237,127,200,216
2935,0.717671897139659,1.14074583212597,0.313753217499567,127,200,228
2985,0.638132137521403,1.13015589425844,0.226587852720306,118,200,224
3035,0.680392412485943,1.21689272614113,0.246090859692272,127,200,231
3085,0.776050524037087,1.29046415139151,0.325188319040189,118,200,226
3135,0.839670476238585,1.3738849285984,0.39946119342307,131,200,227
3185,0.901259536699306,1.40750237210112,0.450660987412608,122,200,223
3235,0.853498672769416,1.28522129151838,0.448415058372156,120,200,218
3285,0.763478535896247,1.21412658454908,0.406387399394264,120,200,219
3335,0.773722606939224,1.26706521467264,0.418679056877216,124,200,221
3385,0.735112700125215,1.16894091840485,0.373186267198669,116,200,229
3435,0.711352137422302,1.11521915008983,0.313969226444884,126,200,222
3485,0.747634522491198,1.18940546472962,0.363737126346353,125,200,221
3535,0.736559381944898,1.18039063408054,0.384147763517909,120,200,210
3585,0.755529164871717,1.26431757466614,0.377440066919931,115,200,204
3635,0.793266060493602,1.31353547318872,0.366597950125839,117,200,204
3685,0.74736641438352,1.27556321315493,0.336768861055143,123,200,207
3735,0.702934510104599,1.13751844661727,0.373124722016366,115,200,214
3785,0.722926671945182,1.18328662134411,0.38889309102817,119,200,214
3835,0.680960694319044,1.12789252874539,0.323900390993549,132,200,219
3885,0.510138810201958,0.907581423672987,0.169288821979336,110,200,227
3935,0.437097982620072,0.866945653613975,0.109664074183556,121,200,228
3985,0.439709177679426,0.851693120279249,0.0778502242397864,127,200,230
4035,0.474846430333001,0.912296317367825,0.0727153813580302,122,200,222
4085,0.6270402229397,1.05829901655507,0.165571543523395,116,200,214
